,Score,Average Score,Timestamp,Solved Requirement,Stretch Goal
0,-427.7955480029834,-427.7955480029834,79,200,250
1,-463.4391963516926,-445.617372177338,76,200,250
2,-88.56518192009064,-326.5999754249222,84,200,250
3,-108.39754356111308,-272.0493674589699,113,200,250
4,-387.411788351439,-295.1218516374637,76,200,250
5,-298.36869963616186,-295.6629929705801,68,200,250
6,-496.3143294841893,-324.32746961538135,72,200,250
7,-289.13759367298996,-319.92873512258245,67,200,250
8,-480.8973933557792,-337.81414159293763,98,200,250
9,-580.790883497636,-362.11181578340745,85,200,250
10,-560.5690792174763,-380.15338518650464,80,200,250
11,-808.1579525909499,-415.82043247020846,90,200,250
12,-132.5846152197592,-394.03306191248157,63,200,250
13,-525.5072631542971,-403.424076286897,70,200,250
14,-130.73460532507767,-385.24477822277566,87,200,250
15,-103.22042141484096,-367.61825592227973,74,200,250
16,-116.11621087019557,-352.8240179780395,55,200,250
17,-140.114308055136,-341.00681187121154,97,200,250
18,-157.80418486281883,-331.364568344454,91,200,250
19,-108.70109217331198,-320.2313945358969,90,200,250
20,-118.98925117026249,-310.6484353280096,105,200,250
21,-104.4751322592285,-301.2769215521559,55,200,250
22,-208.01405439490895,-297.22201428444953,305,200,250
23,-111.12944815484991,-289.46815736238284,146,200,250
24,-17.094555719241228,-278.5732132966572,285,200,250
25,-118.1101382060228,-272.401556562402,75,200,250
26,-305.2301310251364,-273.61742969065136,621,200,250
27,-87.6761300628921,-266.97666898965997,136,200,250
28,-171.1547780157842,-263.6724658526298,130,200,250
29,-229.5371255507148,-262.5346211758993,246,200,250
30,-102.51167642184376,-257.372590699962,237,200,250
31,-30.704885304422405,-250.28922490635148,208,200,250
32,-134.14386766011236,-246.7696686261624,682,200,250
33,-40.1916238148188,-240.69384377876995,332,200,250
34,-70.63120404509414,-235.83491121495064,147,200,250
35,-83.74145471009194,-231.61009297870456,316,200,250
36,-24.509354992573336,-226.01277573583616,219,200,250
37,-300.4092220526881,-227.97057695470065,275,200,250
38,-65.08715252769092,-223.79407889246963,413,200,250
39,-83.57757886517297,-220.28866639178722,510,200,250
40,12.445482541944656,-214.61222373486692,233,200,250
41,-92.7079744545434,-211.7097416091449,235,200,250
42,-66.09523116469492,-208.32335764532047,195,200,250
43,-183.9881667362635,-207.77028512466012,481,200,250
44,-11.339510411454583,-203.40515679770002,264,200,250
45,-166.45773892829266,-202.60195206140855,201,200,250
46,-3.1496060990744326,-198.35828512603973,149,200,250
47,-35.773127135963335,-194.97109433457982,999,200,250
48,50.7548130994347,-189.95627989715095,202,200,250
49,32.48644317889864,-185.50742543562995,216,200,250
50,-155.07006399639562,-184.91061442701752,104,200,250
51,65.30184924148594,-180.0988362795463,204,200,250
52,-84.02968712545004,-178.28621082380863,210,200,250
53,-98.69127910848884,-176.81223060685826,132,200,250
54,-74.6221355426441,-174.954228878418,999,200,250
55,-160.27111355910822,-174.6920303905732,265,200,250
56,-71.608631021707,-172.88354969989135,115,200,250
57,-81.20654517537298,-171.30291169084794,126,200,250
58,-20.941148139399413,-168.75440722387424,999,200,250
59,-180.39643223499868,-168.94844097405965,999,200,250
60,12.64095310696047,-165.97156566125602,999,200,250
61,-28.22331993841876,-163.7498197625006,999,200,250
62,-45.99312881394371,-161.88066593792033,156,200,250
63,3.1141499891307234,-159.30262193906015,144,200,250
64,-11.22144143588184,-157.02444993131894,999,200,250
65,-41.05016908481572,-155.2672638578871,999,200,250
66,41.157494279454596,-152.33555104986706,999,200,250
67,-28.118128806915852,-150.50882425217662,999,200,250
68,-84.51268216698368,-149.552358424855,999,200,250
69,18.94969410116788,-147.1451862459118,151,200,250
70,-164.45489985637877,-147.38898502915782,381,200,250
71,-83.8777970900927,-146.50688519667074,999,200,250
72,-34.13566030605325,-144.96755334885407,249,200,250
73,-83.67440176197144,-144.1392675165989,231,200,250
74,-38.71406683509897,-142.7335981741789,999,200,250
75,-71.31774492175055,-141.79391589454167,999,200,250
76,-19.658839613412304,-140.20774607270883,999,200,250
77,-386.4722096449319,-143.36498278517323,726,200,250
78,-107.81791383781778,-142.91501988710544,570,200,250
79,-23.638873700908853,-141.424068059778,999,200,250
80,40.9982768250238,-139.1719403451508,999,200,250
81,-34.110277163783365,-137.8907005502561,999,200,250
82,-70.33767557934812,-137.07680868313673,789,200,250
83,29.419890134579642,-135.09470512578295,999,200,250
84,13.923861596915042,-133.34154551728062,999,200,250
85,-8.525074574797005,-131.89019120399593,999,200,250
86,-44.07440345868644,-130.88081433336018,999,200,250
87,-44.83039533430948,-129.90296866291644,999,200,250
88,-36.979130110987406,-128.85888058929925,999,200,250
89,-36.14347864555414,-127.82870945659096,184,200,250
90,36.787059270278505,-126.0197449650869,999,200,250
91,-31.590644044585137,-124.99334169421188,999,200,250
92,19.057794592809636,-123.44440474488907,999,200,250
93,-17.43002828481076,-122.31659222935633,999,200,250
94,32.07615653187007,-120.69140540029079,999,200,250
95,242.6013885140756,-116.9071054636828,373,200,250
96,-63.15053597964653,-116.35291402570304,131,200,250
97,19.223705195134308,-114.9694791356945,999,200,250
