,Score,Average Score,Timestamp,Solved Requirement,Stretch Goal
0,-143.98116131014575,-143.98116131014575,85,200,250
1,-549.4206987502777,-346.7009300302117,76,200,250
2,-160.0028672183016,-284.46824242624166,78,200,250
3,-455.1224830863809,-327.1318025912765,84,200,250
4,-215.3689804511234,-304.77923816324585,58,200,250
5,-573.7937927841042,-349.61499726672224,102,200,250
6,-267.6716628820341,-337.90880664033824,60,200,250
7,-153.1454763429901,-314.8133903531697,71,200,250
8,-222.2101332515004,-304.5241395640953,63,200,250
9,-296.94707375605054,-303.7664329832909,66,200,250
10,-439.930456614862,-316.14498058616095,79,200,250
11,-172.52062836863308,-304.1762845680336,58,200,250
12,-123.84517041879059,-290.30466040270727,83,200,250
13,-326.9566072956885,-292.9226566093488,87,200,250
14,-125.8325252304613,-281.7833145174229,87,200,250
15,-248.54514579524826,-279.70592897228704,76,200,250
16,-247.97175054639882,-277.8392125942936,75,200,250
17,-165.1088362603366,-271.5764139090738,84,200,250
18,-447.31738650754096,-280.82593878267727,287,200,250
19,-485.26796937642405,-291.0480403123646,97,200,250
20,-205.5077485379585,-286.97469308501195,124,200,250
21,-254.67948584326078,-285.5067291194778,151,200,250
22,-352.67336451051915,-288.4270176147405,118,200,250
23,-134.83858239949723,-282.02749948077206,151,200,250
24,-209.25657621578475,-279.1166625501726,115,200,250
25,-133.28333530549432,-273.50768842537724,163,200,250
26,-182.04962537481396,-270.12035275683786,154,200,250
27,-64.34974535870043,-262.7714024926187,108,200,250
28,-50.91823567315535,-255.4661208781544,245,200,250
29,-54.16481408263904,-248.7560773183039,179,200,250
30,-134.0322407096407,-245.0553083954438,236,200,250
31,-63.93813571376857,-239.3953967491414,138,200,250
32,-34.039477709147064,-233.17249011156582,181,200,250
33,-304.64160486445894,-235.27452289841563,440,200,250
34,-79.0070723511389,-230.80973859706486,99,200,250
35,-130.9665943041127,-228.03631792226062,207,200,250
36,-177.70575532072135,-226.67603244654336,374,200,250
37,-117.63342585819944,-223.80649016790272,585,200,250
38,-112.84178011579012,-220.96124119220752,161,200,250
39,-252.09936482328771,-221.73969428298454,621,200,250
40,-83.55263594426663,-218.36927822594265,171,200,250
41,-189.57052452111137,-217.68359361392288,626,200,250
42,-151.04955993522447,-216.1339649237206,345,200,250
43,-100.10656385420646,-213.4969785357771,308,200,250
44,-193.64221060011988,-213.05576147054023,206,200,250
45,-120.16096795292076,-211.0363094375485,439,200,250
46,-266.0089533207639,-212.20594015846802,227,200,250
47,-120.12939618082082,-210.28767882560032,206,200,250
48,-227.39211851080222,-210.63674902325752,384,200,250
49,-166.83503169709945,-209.76071467673435,547,200,250
50,-248.5867249702874,-210.5220089962158,745,200,250
51,-43.94014979762068,-207.31851170393514,393,200,250
52,-63.89068048842186,-204.6123262093028,243,200,250
53,-140.55482826827546,-203.42607624743195,493,200,250
54,-96.73640985414309,-201.48626413119035,362,200,250
55,-34.66554360854526,-198.50732269328594,999,200,250
56,-48.581533979924984,-195.8770456983147,239,200,250
57,-131.8579009234959,-194.77326734012817,296,200,250
58,-58.567097337485954,-192.46468818754101,118,200,250
59,-190.358547681363,-192.42958584577136,999,200,250
60,-114.9198774645125,-191.15893488870154,128,200,250
61,-87.28876653054273,-189.4836095926022,150,200,250
62,-254.50762271180633,-190.5157367849705,166,200,250
63,-198.76513424818478,-190.64463362033325,194,200,250
64,-46.98803805831592,-188.43453215014839,405,200,250
65,-93.97368556285073,-187.003307201856,215,200,250
66,-300.01108919718786,-188.68999051521914,584,200,250
67,-185.201833973663,-188.63869409549037,237,200,250
68,-52.542780738042936,-186.6662895540781,442,200,250
69,-139.63812009613565,-185.99445856182177,206,200,250
70,-429.5690895101825,-189.42508716672825,503,200,250
71,-349.7250336408744,-191.6514753122025,283,200,250
72,-270.0311318271848,-192.7251692370653,412,200,250
73,-145.10881587073126,-192.08170500238512,865,200,250
74,-205.8586101515166,-192.2653970710402,499,200,250
75,-27.28828567574069,-190.0946456053126,999,200,250
76,-250.3074435741726,-190.87662999451857,271,200,250
77,-174.4795065962458,-190.66641046377148,534,200,250
78,-49.886364062625056,-188.8843845599595,145,200,250
79,-101.61164738542716,-187.7934753452778,999,200,250
80,-203.47661468966635,-187.98709434952954,242,200,250
81,-69.31674631801866,-186.5398949832916,236,200,250
82,-233.80751096972554,-187.10938433252574,682,200,250
83,-125.69734816217064,-186.37828866383103,683,200,250
84,-137.98747587782128,-185.8089849839956,318,200,250
85,-86.63840836193233,-184.65583874420417,275,200,250
86,-45.775061808940066,-183.0595079748333,453,200,250
87,-146.23680835501997,-182.64106820642635,542,200,250
88,-162.00028082976985,-182.4091492471381,661,200,250
89,-201.92492239843978,-182.62599117104145,242,200,250
90,-135.65458939336077,-182.1098219207373,505,200,250
91,-82.58776982271463,-181.02806048488924,428,200,250
92,-206.36920480313597,-181.30054590766608,161,200,250
93,-197.59309823595135,-181.47387093243506,634,200,250
94,-163.99492872918074,-181.28988206713765,999,200,250
95,-55.10229127442919,-179.9754279963802,238,200,250
96,-132.37150207674284,-179.48466587349733,980,200,250
97,-32.40571217410164,-177.9838602235035,139,200,250
98,0.07915357284954361,-176.18524392253025,999,200,250
99,-48.35302708542325,-174.90692175415919,278,200,250
100,-54.38780038027194,-174.0109881448605,257,200,250
101,-72.88343091932093,-169.24561546655093,202,200,250
102,-32.9156518629584,-167.97474331299748,999,200,250
103,-43.67961923787351,-163.86031467451238,999,200,250
104,-185.94608830882356,-163.5660857530894,879,200,250
105,13.424057712970548,-157.69390724811865,999,200,250
106,-216.29464917096988,-157.18013711100798,926,200,250
107,11.609552023364484,-155.53258682734446,999,200,250
108,-114.31891435221054,-154.45367463835154,358,200,250
109,-75.41067548423659,-152.23831065563343,999,200,250
110,73.52671747574657,-147.10373891472733,999,200,250
111,-7.847347079079713,-145.4570061018318,999,200,250
112,75.0885613477352,-143.46766878416653,999,200,250
113,13.944751823018464,-140.05865519297947,999,200,250
114,-8.866644501828727,-138.88899638569313,999,200,250
115,-75.4696254278098,-137.15824118201874,822,200,250
116,-46.46855147998938,-135.14320919135466,207,200,250
117,71.31930757976619,-132.77892775295362,999,200,250
118,-36.66258266204724,-128.6723797144987,396,200,250
119,-13.154626096403673,-123.95124628169852,999,200,250
120,-176.06407102471863,-123.65680950656612,205,200,250
121,56.16884822932585,-120.54832616584025,999,200,250
122,65.46303413563004,-116.36696217937875,999,200,250
123,83.39926755891557,-114.18458367979461,999,200,250
124,55.805314567492864,-111.53396477196182,999,200,250
125,-20.67218290758793,-110.40785324798277,999,200,250
126,72.78523800367952,-107.85950461419785,999,200,250
127,-27.16890817720728,-107.48769624238292,999,200,250
128,-33.957560209784475,-107.3180894877492,999,200,250
129,14.634483493538504,-106.63009651198742,999,200,250
130,-27.91046876569029,-105.56887879254793,999,200,250
131,2.0490980488051775,-104.9090064549222,999,200,250
132,55.300674292184475,-104.01560493490888,999,200,250
133,75.09006463595061,-100.21828823990478,999,200,250
134,-2.922461135347703,-99.45744212774686,999,200,250
135,84.78359499384047,-97.29994023476733,999,200,250
136,42.88855875797881,-95.09399709398032,999,200,250
137,-12.964889216897769,-94.0473117275673,999,200,250
138,-5.358496368668175,-92.9724788900961,999,200,250
139,102.50045485772843,-89.4264806932859,999,200,250
140,31.372734234964522,-88.27722699149359,999,200,250
141,-59.79252790182726,-86.97944702530077,319,200,250
142,77.8706435872855,-84.69024499007566,999,200,250
143,49.257015640497386,-83.19660919512862,999,200,250
144,-21.773977334462696,-81.47792686247206,999,200,250
145,42.83883724737234,-79.84792881046914,999,200,250
146,45.98097561943002,-76.7280295210672,999,200,250
147,-42.94115856646522,-75.95614714492365,999,200,250
148,170.7797066183136,-71.97442889363248,892,200,250
149,-71.21073479100485,-71.01818592457154,999,200,250
150,68.4402044404531,-67.84791663046413,999,200,250
151,-142.4229302874645,-68.83274443536257,186,200,250
152,-247.33716720416186,-70.66720930251996,439,200,250
153,107.87921534057477,-68.18286886643146,999,200,250
154,45.94440427123567,-66.75606072517768,999,200,250
155,75.81987269682979,-65.65120656212393,999,200,250
156,-35.64974924877014,-65.52188871481239,999,200,250
157,99.0669945233551,-63.212639760343876,999,200,250
158,32.36366210262527,-62.30333216594276,999,200,250
159,76.98373961080785,-59.62990929302104,999,200,250
160,-63.31725236641141,-59.11388304204005,461,200,250
161,35.53591942771279,-57.88563618245748,999,200,250
162,-87.32784117828903,-56.213838367122314,999,200,250
163,138.48623427483471,-52.84132468189212,867,200,250
164,35.87393964609748,-52.012704904847986,194,200,250
165,28.82828260929618,-50.78468522312651,999,200,250
166,-6.997584534451932,-47.854550176499146,999,200,250
167,88.42599628758198,-45.1182718738867,999,200,250
168,23.3151984938236,-44.35969208156803,999,200,250
169,121.22908922766311,-41.75101998833004,988,200,250
170,35.20058331267106,-37.10332326010152,999,200,250
171,-155.00559732548064,-35.15612889694758,246,200,250
172,67.64441591969921,-31.779373419478745,999,200,250
173,111.73161580297622,-29.210969102741664,828,200,250
174,-10.865067945544189,-27.26103368068194,999,200,250
175,152.11635600866555,-25.46698726383788,999,200,250
176,32.276936447810385,-22.641143463618047,999,200,250
177,62.11094641718155,-20.275238933483767,999,200,250
178,28.083188393829563,-19.49554340891922,999,200,250
179,170.67217003449673,-16.772705234719982,999,200,250
180,158.83412100110866,-13.149597877812234,999,200,250
181,120.80764311267747,-11.248353983505272,917,200,250
182,30.547051885800364,-8.604808354950013,999,200,250
183,269.6088501793533,-4.651746371534774,343,200,250
184,-0.4552119630857241,-3.2764237323874177,999,200,250
185,1.8691887763293278,-2.3913477610048006,999,200,250
186,-31.122054747755577,-2.2448176903929564,999,200,250
187,13.672564121155837,-0.645723965631198,999,200,250
188,23.485206923049873,1.209130911896999,179,200,250
189,166.23168871342773,4.890697023015675,819,200,250
190,90.33971638814512,7.150640080830734,853,200,250
191,78.1711310806099,8.75822908986398,999,200,250
192,277.9103228575432,13.601024366470769,599,200,250
193,175.70495655108715,17.334004914341154,763,200,250
194,16.486027077864062,19.138814472411607,999,200,250
195,136.50471657058188,21.054884550861715,973,200,250
196,97.31782012533368,23.35177777288248,999,200,250
197,-6.883226568828732,23.607002628935206,114,200,250
198,-17.966981993252602,23.42654127327419,156,200,250
199,-7.158487792593687,23.838486666202474,999,200,250
200,75.85208250562486,25.140885495061454,999,200,250
201,19.534724497476528,26.065067049229423,999,200,250
202,42.22865997416392,26.816510167600644,999,200,250
203,54.49250119999725,27.79823137197935,999,200,250
204,116.10143186962787,30.81870657376387,999,200,250
205,38.201434886426064,31.066480345498427,999,200,250
206,49.67620847838654,33.72618892199199,999,200,250
207,186.18798597715715,35.47197326152992,714,200,250
208,75.49720663421677,37.37013447139419,999,200,250
209,89.30548859353804,39.017296112171934,999,200,250
210,106.09259048071696,39.34295484222164,763,200,250
211,71.3430023800202,40.134858336812634,999,200,250
212,-31.880686400569928,39.06516585932959,188,200,250
213,-73.11871581554013,38.194531182944,101,200,250
214,35.40388927743459,38.637236520736636,999,200,250
215,98.37533117006687,40.3756860867154,999,200,250
216,280.6477995181264,43.646849596696555,321,200,250
217,277.10125020499106,45.7046690229488,355,200,250
218,223.64325390105006,48.30772738857978,436,200,250
219,250.3426271125965,50.942699920669774,391,200,250
220,171.47755126432048,54.41811614356016,688,200,250
221,239.82757933253325,56.254703454592246,470,200,250
222,119.59492113417662,56.7960223245777,999,200,250
223,130.95308333101647,57.27156048229872,999,200,250
224,232.56503806133037,59.039157717237096,446,200,250
225,205.60798182943637,61.301959364607335,632,200,250
226,56.40722846439348,61.138179269214476,999,200,250
227,-128.17315754538305,60.128136775532724,102,200,250
228,49.84979910438207,60.96621036867438,149,200,250
229,257.08880057830766,63.390753539522066,952,200,250
230,204.0324300799096,65.71018252797806,574,200,250
231,190.83994326655102,67.59809098015553,847,200,250
232,-17.685306763022794,66.86823116960346,444,200,250
233,199.81077349764618,68.11543825822042,536,200,250
234,13.941467879031123,68.28407754836421,114,200,250
235,179.0700879928259,69.22694247835406,714,200,250
236,-39.514117202919216,68.40291571874509,96,200,250
237,262.96430764101,71.16220768732416,594,200,250
238,243.4550546055001,73.65034319706585,418,200,250
239,153.52763528797533,74.16061500136831,881,200,250
240,44.25036053970223,74.28939126441568,145,200,250
241,47.491202358040056,75.36222856701437,111,200,250
242,186.42555308192004,76.44777766196071,703,200,250
243,182.54677766342002,77.78067528218993,894,200,250
244,205.1292534786561,80.04970759032112,477,200,250
245,189.75391691083564,81.51885838695576,707,200,250
246,210.92601353644966,83.16830876612596,429,200,250
247,255.59518360552374,86.15367218784584,271,200,250
248,251.10569587856043,86.95693208044831,306,200,250
249,281.1976183016219,90.48101561137457,444,200,250
250,289.6150797636491,92.69276436460653,324,200,250
251,84.86537899769841,94.96564745745816,999,200,250
252,223.6586839990131,99.6756059694899,729,200,250
253,12.397834785460446,98.72079216393877,274,200,250
254,246.81093233645078,100.72945744459092,481,200,250
255,75.09676789315404,100.72222639655416,999,200,250
256,-14.361757394309564,100.93510631509878,94,200,250
257,59.53467187060269,100.53978308857124,152,200,250
258,-16.60023470366326,100.05014412050834,171,200,250
259,-14.567231487189247,99.13463440952837,107,200,250
260,6.0520041601293855,99.82832697479378,115,200,250
261,-112.91692499386318,98.34379853057803,357,200,250
262,58.543536492294805,99.80251230728385,999,200,250
263,264.8415290732669,101.06606525526817,277,200,250
264,228.4424419400957,102.99175027820816,563,200,250
265,8.341856813199854,102.78688602024722,129,200,250
266,16.990399524514046,103.02676586083689,97,200,250
267,1.0746938319899897,102.15325283628096,136,200,250
268,36.96050299792401,102.28970588132196,100,200,250
269,20.960224613935623,101.2870172351847,129,200,250
270,53.908036342762415,101.47409176548561,172,200,250
271,210.37668741895135,105.12791461292991,496,200,250
272,243.7934236020994,106.88940468975392,491,200,250
273,-5.931048409869788,105.71277804762545,149,200,250
274,267.3458189937325,108.4948869170182,536,200,250
275,-3.175705283869547,106.94196630409289,124,200,250
276,249.16892150326586,109.11088615464743,482,200,250
277,-22.39063817170073,108.26587030875861,244,200,250
278,190.03225583767187,109.88536098319702,441,200,250
279,269.2453472046501,110.87109275489858,413,200,250
280,-45.79618273545737,108.82478971753291,322,200,250
281,55.46945581526623,108.1714078445588,999,200,250
282,48.15861889712136,108.347523514672,146,200,250
283,229.5820023635838,107.9472550365143,696,200,250
284,-58.82081510827304,107.36359900506244,61,200,250
285,222.55467646674282,109.57045388196659,186,200,250
286,-95.43614937695354,108.92731293567459,116,200,250
287,206.85434484670384,110.85913074293008,642,200,250
288,246.1900669522787,113.08617934322237,425,200,250
289,263.5359272729572,114.05922172881763,343,200,250
290,223.1755034331884,115.38757959926811,510,200,250
291,209.3169611798231,116.69903790026022,478,200,250
