,Score,Average Score,Timestamp,Solved Requirement,Stretch Goal
0,-143.98116131014575,-143.98116131014575,85,200,250
1,-556.3016393216626,-350.1414003159042,76,200,250
2,-153.7360056899896,-284.67293544059936,78,200,250
3,-344.14959279528756,-299.5420997792714,86,200,250
4,-267.2118172254736,-293.07604326851185,105,200,250
5,-212.80456276941408,-279.6974631853289,66,200,250
6,-497.8841863847203,-310.86699507095625,93,200,250
7,-254.80888811652045,-303.85973170165175,75,200,250
8,-204.5280156432308,-292.8228743618272,84,200,250
9,-213.29341556364062,-284.86992848200856,92,200,250
10,-121.76901528930584,-270.0425727372174,73,200,250
11,-123.82833086475031,-257.85805258117847,98,200,250
12,-283.5880995102974,-259.8372869603415,59,200,250
13,-139.90798334416743,-251.27090813061477,96,200,250
14,-112.70966259142202,-242.03349176133526,94,200,250
15,-252.96453452241926,-242.71668193390298,103,200,250
16,-312.4349115303096,-246.81775426310335,124,200,250
17,-62.47966799534605,-236.57674947045018,105,200,250
18,-334.81636789700053,-241.7472557034265,199,200,250
19,-80.49182776714765,-233.68448430661255,256,200,250
20,-80.41282827604788,-226.3858340194428,97,200,250
21,-64.43350354727323,-219.024364452526,231,200,250
22,-87.45439212963736,-213.30393087326996,126,200,250
23,-206.53221336635346,-213.02177597714845,160,200,250
24,-48.54449075788365,-206.44268456837787,262,200,250
25,-80.77512837282185,-201.60931702239498,173,200,250
26,-205.5494250751367,-201.7552469502743,960,200,250
27,-32.37394030594206,-195.70591457011957,119,200,250
28,-62.59813930318779,-191.11599128505296,154,200,250
29,-44.413503584802584,-186.2259083617113,215,200,250
30,-49.900561062504025,-181.82831651334976,220,200,250
31,-0.6551382375167378,-176.16665469222994,108,200,250
32,-114.47824620495442,-174.2973089804943,114,200,250
33,-57.03589194456898,-170.84844377355535,163,200,250
34,-36.13647705221605,-166.99953043865992,158,200,250
35,-61.27649070184444,-164.0627793348595,197,200,250
36,-227.39497350906498,-165.77446025848667,182,200,250
37,-135.1926028252935,-164.96967453656052,336,200,250
38,22.128257907168397,-160.172291653388,999,200,250
39,-36.3347270353224,-157.07635253793637,188,200,250
40,-155.08696381602056,-157.02783086179207,237,200,250
41,-201.36690465788007,-158.08352309503226,331,200,250
42,-10.63863796537045,-154.65457227806337,319,200,250
43,-0.5448600949980005,-151.15207881935734,247,200,250
44,-92.89181731044404,-149.85740634138148,95,200,250
45,-64.32304741876132,-147.99796375610714,217,200,250
46,-20.37575608550675,-145.28259763545606,124,200,250
47,-45.65709292202102,-143.20706628725952,249,200,250
48,-77.78546772526263,-141.87193162272897,312,200,250
49,-45.3985582325753,-139.9424641549259,266,200,250
50,-32.65225987356628,-137.83873465921297,195,200,250
51,-86.6057697367674,-136.85348533378132,285,200,250
52,-72.86610743995962,-135.64617631691675,96,200,250
53,-81.0348230940757,-134.6348549609382,180,200,250
54,-92.88324780973,-133.87573483091626,125,200,250
55,-82.76090344832186,-132.9629699847985,149,200,250
56,-115.75523011179772,-132.66107981158797,225,200,250
57,10.140357189534722,-130.1989860701893,999,200,250
58,42.284690331360395,-127.27553392779015,999,200,250
59,60.7349903511241,-124.14202518980825,999,200,250
60,-50.33653782326034,-122.93209916740582,200,200,250
61,-9.696792096180033,-121.10572324690217,286,200,250
62,-98.50896565183658,-120.74704455491701,293,200,250
63,-53.8048484490099,-119.70107274076221,115,200,250
64,-298.9144120640618,-122.45820103804375,289,200,250
65,-131.68335847972227,-122.59797615079646,249,200,250
66,-21.935804529359956,-121.09555567883473,257,200,250
67,-149.62353703490533,-121.51508481642401,230,200,250
68,-470.972223338577,-126.57968102688999,576,200,250
69,-31.27336795939165,-125.21816226878286,275,200,250
70,-101.26177545026235,-124.88074836993046,999,200,250
71,44.125830466288335,-122.53343477498295,182,200,250
72,-267.12543350315093,-124.51414708632774,232,200,250
73,-84.13910739302048,-123.96853844182358,284,200,250
74,-29.167112367173715,-122.70451942749492,197,200,250
75,-111.03913354545128,-122.55102750799433,419,200,250
76,35.81671107321273,-120.49430363031634,169,200,250
77,12.054020981854308,-118.79496613528852,226,200,250
78,18.389403907630225,-117.05845512208703,288,200,250
79,-25.671492267209246,-115.91611808640103,258,200,250
80,-81.60738522839392,-115.49255348321574,398,200,250
81,79.57509495647415,-113.11367972175611,999,200,250
82,-171.5366882716948,-113.8175713910325,493,200,250
83,-328.55756850587204,-116.37399992811392,875,200,250
84,-113.5419878983655,-116.34068213952864,311,200,250
85,-36.77452802972317,-115.41549430104254,491,200,250
86,185.39672082199814,-111.95788263296161,499,200,250
87,-86.29525624245905,-111.66626187852407,385,200,250
88,-71.96539800702357,-111.22018475637238,397,200,250
89,18.760644534183548,-109.77595331981063,999,200,250
90,-124.7402528480401,-109.9403961717692,294,200,250
91,79.4069743533188,-107.8822725791052,999,200,250
92,-151.08138373042306,-108.34677915062474,449,200,250
93,-70.51465298212455,-107.94430972330028,536,200,250
94,17.428268782505626,-106.62459837060759,154,200,250
95,11.769625033408891,-105.39132521014909,999,200,250
96,4.6704355932990325,-104.25666788227848,469,200,250
97,-36.61524056006972,-103.5664492361335,328,200,250
98,25.480292465600407,-102.26294679470185,999,200,250
99,-362.82007503414013,-104.86851807709623,386,200,250
100,-75.72002168493292,-104.18590668084411,303,200,250
101,-120.05048543238355,-99.82339514195131,776,200,250
102,-46.06246655106136,-98.74665975056205,999,200,250
103,-129.0393020439186,-96.59555684304836,335,200,250
104,-74.8888499021323,-94.67232716981495,180,200,250
105,0.5214656104990585,-92.53906688601579,999,200,250
106,-56.63073410738552,-88.12653236324245,234,200,250
107,-87.65304729510873,-86.45497395502832,237,200,250
108,-90.30768775104869,-85.3127706761065,116,200,250
109,-398.36548698644464,-87.16349139033453,512,200,250
110,-3.375933262562384,-85.97956057006712,409,200,250
111,-259.46665032883334,-87.33594376470793,379,200,250
112,-111.127162940691,-85.61133439901187,323,200,250
113,-174.999655756942,-85.96225112313961,245,200,250
114,-21.91897803940559,-85.05434427761946,999,200,250
115,-135.81948075774255,-83.8828937399727,424,200,250
116,-51.81602797287209,-81.27670490439831,240,200,250
117,-163.92937287054838,-82.29120195315033,438,200,250
118,69.85216837645238,-78.2445165904158,965,200,250
119,4.409556775547131,-77.39550274498885,399,200,250
120,-213.25153142367634,-78.72388977646514,442,200,250
121,64.73445991741805,-77.43221014181823,999,200,250
122,-165.52658463119866,-78.21293206683384,209,200,250
123,55.27114324784496,-75.59489850069185,999,200,250
124,77.80712287124476,-74.33138236440058,999,200,250
125,180.6040405465033,-71.71759067520733,780,200,250
126,-165.77333841278036,-71.31982980858378,913,200,250
127,-116.95646893865869,-72.16565509491093,753,200,250
128,34.18972933355136,-71.19777640854355,999,200,250
129,-64.76625185627609,-71.40130389125828,999,200,250
130,67.4305361323536,-70.22799291930971,999,200,250
131,-50.478882041680706,-70.72623035735135,999,200,250
132,133.6677708555533,-68.24477018674627,999,200,250
133,80.52437389434256,-66.86916752835715,999,200,250
134,-26.761791803606478,-66.77542067587105,999,200,250
135,17.575622451110657,-65.9868995443415,999,200,250
136,-144.4495893544696,-65.15744570279554,776,200,250
137,75.37318560584572,-63.051787818484165,999,200,250
138,19.130908273277242,-63.081761314823076,213,200,250
139,-63.58628420208359,-63.35427688649068,999,200,250
140,255.37288047698271,-59.249678443560654,867,200,250
141,-10.959492961945584,-57.345604326601304,999,200,250
142,-74.10702489257528,-57.98028819587334,95,200,250
143,-62.636370822022315,-58.60120330314359,999,200,250
144,12.183313610033123,-57.55045199393882,999,200,250
145,-62.34487733052196,-57.53067029305644,999,200,250
146,10.305983267572149,-57.22385289952564,999,200,250
147,0.6558384983944701,-56.760723585321486,999,200,250
148,-27.319708633410144,-56.25606599440296,999,200,250
149,195.47006475331727,-53.84737976454404,726,200,250
150,-36.67008898704606,-53.88755805567883,999,200,250
151,-38.84601908380358,-53.40996054914919,999,200,250
152,3.2222992655721425,-52.64907648209387,999,200,250
153,11.749090117486872,-51.72123734997824,425,200,250
154,-375.5964614289524,-54.54836948617046,161,200,250
155,-29.26421746511939,-54.01340262633844,999,200,250
156,19.989132461546102,-52.655959000605,999,200,250
157,69.5104512397294,-52.06225806010306,999,200,250
158,-9.679767027121176,-52.581902633687875,999,200,250
159,58.160203840639724,-52.607650498792715,999,200,250
160,267.22186473301804,-49.43206647322993,444,200,250
161,-49.16494376186053,-49.826747989886734,999,200,250
162,56.948902628971226,-48.27216930707866,999,200,250
163,81.35478914787289,-46.92057293110984,999,200,250
164,274.8398571832414,-41.18303023863681,466,200,250
165,-24.05353801636181,-40.10673203400321,999,200,250
166,50.46526752988251,-39.38272131341078,999,200,250
167,-65.4255671031223,-38.54074161409295,999,200,250
168,-0.08736322771029803,-33.83189301298428,999,200,250
169,14.683720481347606,-33.37232212857688,999,200,250
170,-8.761083236418033,-32.44731520643845,999,200,250
171,-24.135445622181237,-33.129927967323134,999,200,250
172,35.223896013763834,-30.106434672153988,178,200,250
173,-31.865327438748594,-29.58369687261127,999,200,250
174,-3.0459378236371313,-29.322485127175902,999,200,250
175,61.34777674873527,-27.598616024234037,999,200,250
176,39.636266430611094,-27.560420470660052,999,200,250
177,-4.811888411669102,-27.729079564595292,347,200,250
178,4.9119232106914135,-27.863854371564685,999,200,250
179,10.171910805305915,-27.50542034083953,999,200,250
180,132.66847618361317,-25.362661726719463,999,200,250
181,-1.7914137954201266,-26.1763268142384,431,200,250
182,27.424115689353826,-24.186718774627916,999,200,250
183,9.14777801066102,-20.809665309462584,999,200,250
184,202.86058266360754,-17.645639603842852,690,200,250
185,-18.25579045867444,-17.460452228132365,544,200,250
186,-56.97250129992314,-19.884144449351574,105,200,250
187,232.1331814524169,-16.699860072402817,436,200,250
188,14.580090840307268,-15.834405183929512,999,200,250
189,77.79059996967683,-15.244105629574578,999,200,250
190,-143.20969894567634,-15.42880009055094,402,200,250
191,-56.43957603721445,-16.787265594456272,109,200,250
192,249.80995814096735,-12.778352175742366,893,200,250
193,254.2774970949682,-9.530430674971438,801,200,250
194,-78.0745174794661,-10.485458537591155,406,200,250
195,-0.45165781669698046,-10.607671366092216,999,200,250
196,102.04971501846066,-9.633878571840597,751,200,250
197,-88.88732438874685,-10.156599410127367,999,200,250
198,-23.724916467236326,-10.648651499455735,354,200,250
199,126.47624713397134,-5.755688277774621,966,200,250
200,73.00319781939791,-4.268456082731315,999,200,250
201,-62.54173142099513,-3.6933685426174305,999,200,250
202,105.04322649927332,-2.1823116121140838,999,200,250
203,-68.65016217799706,-1.5784202134548682,342,200,250
204,160.0742836190214,0.7712111217566673,644,200,250
205,-2.265153885563775,0.7433449267960397,999,200,250
206,-27.967150570386025,1.0299807621660333,536,200,250
207,246.58914114696123,4.3724026465867345,501,200,250
208,-37.75927973161279,4.897886726781093,110,200,250
209,-59.473650598013975,8.286805090665403,999,200,250
210,260.01212234267416,10.920685646717766,477,200,250
211,236.36059913970345,15.878958141403137,507,200,250
212,57.047064153834,17.560700412348382,999,200,250
213,87.14529485942471,20.182149918512053,999,200,250
214,-7.973269372652583,20.32160700517958,999,200,250
215,135.84192590724155,23.038221071829422,574,200,250
216,-107.45590959948181,22.481822255563326,676,200,250
217,119.24866913911869,25.31360267566,800,200,250
218,-39.743455471066866,24.217646437184808,130,200,250
219,178.30228438698532,25.95657371329919,892,200,250
220,175.81106151687771,29.847199642704727,749,200,250
221,24.242659348116515,29.44228163701171,999,200,250
222,196.2687205124907,33.0602346884486,667,200,250
223,-28.98640848508643,32.21765917111929,170,200,250
224,210.85467778216042,33.54813472022845,711,200,250
225,-10.721829571213753,31.63487601905128,999,200,250
226,227.76064805084752,35.57021588368755,559,200,250
227,226.44892130420328,39.004269786116176,656,200,250
228,-62.06180197340895,38.04175447304657,93,200,250
229,-121.79736319144831,37.47144335969485,73,200,250
230,219.41521189017024,38.99129011727302,555,200,250
231,-92.86977256947904,38.56738121199503,119,200,250
232,218.7422871843554,39.41812637528305,526,200,250
233,116.9597610819906,39.78248024715953,934,200,250
234,213.01661749512846,42.180264340146884,814,200,250
235,-91.52952035387221,41.089212912097054,53,200,250
236,-136.51604726208683,41.16854833302088,83,200,250
237,-14.214717016680908,40.27266930679561,175,200,250
238,44.794238414043235,40.529302608203274,999,200,250
239,159.1198774637037,42.75636422486114,538,200,250
240,136.7617461805953,41.570252881897275,983,200,250
241,68.02723161834247,42.360120127700156,999,200,250
242,-21.081591065377413,42.89037446597213,999,200,250
243,-165.9269099159988,41.85746907503237,152,200,250
244,150.94661762352686,43.2451021151673,589,200,250
245,238.89520831279575,46.25750297160048,538,200,250
246,-118.8284348764834,44.966158790159916,280,200,250
247,41.17117798071151,45.3713121849831,999,200,250
248,178.74876685152648,47.43199693983247,468,200,250
249,-23.982849990676122,45.237467792392536,999,200,250
250,238.55885704184206,47.98975725268142,522,200,250
251,-22.366801480684344,48.154549428712606,419,200,250
252,174.88043186911383,49.87113075474801,612,200,250
253,169.49914823486486,51.44863133592179,742,200,250
254,227.358044365818,57.4781763938695,530,200,250
255,274.05473882319177,60.51136595675261,545,200,250
256,205.2116638758448,62.3635912708956,669,200,250
257,-356.4465970715217,58.10402078778309,201,200,250
258,-41.50262759977971,57.785792182056504,999,200,250
259,208.0996231656605,59.285186375306715,882,200,250
260,31.708807186487128,56.930055799841405,999,200,250
261,179.95951871302685,59.22130042459029,684,200,250
262,181.51223990867504,60.46693379738732,652,200,250
263,244.83865408630592,62.10177244677165,540,200,250
264,242.7654612253428,61.78102848719265,708,200,250
265,187.0500130829477,63.89206399818575,622,200,250
266,252.466624652341,65.91207756941034,366,200,250
267,-43.88685753830785,66.12746466505848,152,200,250
268,228.45745115003672,68.41291280883597,372,200,250
269,199.47463660096673,70.26082197003215,489,200,250
270,262.31953098491834,72.97162811224551,497,200,250
271,197.85519248627045,75.19153449333002,310,200,250
272,263.46871861023817,77.47398271929477,485,200,250
273,244.591209642194,80.23854809010419,447,200,250
274,-302.5814233060521,77.24319323528006,278,200,250
275,122.57959011295313,77.85551136892224,999,200,250
276,214.6217085856906,79.60536579047303,376,200,250
277,177.03499697389947,81.42383464432869,496,200,250
278,-33.62103517922888,81.0385050604295,262,200,250
279,146.8463005210896,82.40524895758733,980,200,250
280,190.53877453478026,82.98395194109901,496,200,250
281,158.40598503174797,84.5859259293707,701,200,250
282,-40.39668633597498,83.9077179091174,999,200,250
283,104.13340681000265,84.85757419711082,806,200,250
284,-53.67942229962874,82.29217414747845,999,200,250
285,136.48221592125742,83.83955421127779,764,200,250
286,93.74687081064128,85.34674793238342,806,200,250
287,-15.969924681959682,82.86571687103965,274,200,250
288,-204.58086876212576,80.67410727501532,350,200,250
289,217.02395997113706,82.06644087502993,699,200,250
290,155.954516511507,85.05808302960176,495,200,250
