,Score,Average Score,Timestamp,Solved Requirement,Stretch Goal
0,-483.8769892044033,-483.8769892044033,76,200,250
1,-177.12016824313758,-330.49857872377044,75,200,250
2,-367.2242281152127,-342.7404618542512,84,200,250
3,-329.97192339730566,-339.5483272400148,122,200,250
4,-423.77806766113554,-356.39427532423895,141,200,250
5,-309.7750008812541,-348.62439625040815,80,200,250
6,-429.1536245393938,-360.1285717202632,115,200,250
7,-145.38218332059847,-333.2852731703051,74,200,250
8,-410.8963582722267,-341.90872707051864,122,200,250
9,-75.50172322034808,-315.2680266855016,77,200,250
10,-247.34525523274453,-309.0932292807055,85,200,250
11,-282.05193547547344,-306.8397881302695,168,200,250
12,-248.30878390117988,-302.3374031895703,137,200,250
13,-454.13151742893706,-313.17983992095367,101,200,250
14,-71.64726621933309,-297.0776683408456,154,200,250
15,-562.5853338211009,-313.67189743336155,137,200,250
16,-632.0247684772298,-332.39853690653024,214,200,250
17,-410.8786877379941,-336.758545286056,130,200,250
18,-24.29204880681749,-320.3129402082014,155,200,250
19,-235.93464903343514,-316.0940256494631,101,200,250
20,-336.20781091703896,-317.05182494791904,111,200,250
21,-16.7508366690915,-303.4017800261542,137,200,250
22,-59.9906172902826,-292.8186859941598,157,200,250
23,-266.84796266756433,-291.73657252221824,139,200,250
24,-121.44807928235807,-284.9250327926238,80,200,250
25,-311.9312130751674,-285.96373203426015,99,200,250
26,-67.26394349357915,-277.86373986608675,187,200,250
27,-130.62331541636456,-272.6051532785967,108,200,250
28,-189.2492511975828,-269.73081182752725,97,200,250
29,-256.9975863499916,-269.30637097827605,131,200,250
30,-275.8275122446255,-269.5167303739647,98,200,250
31,-98.01938060222908,-264.157438193598,131,200,250
32,-386.17233487577164,-267.85485930517905,227,200,250
33,-303.01113338714936,-268.8888673664135,229,200,250
34,-306.1394030425588,-269.9531683857319,272,200,250
35,-238.44026620116998,-269.0778099917163,118,200,250
36,-214.36982083385192,-267.5992156901524,118,200,250
37,-83.37654925870336,-262.7512507840616,150,200,250
38,-204.90424971995424,-261.26799434652037,198,200,250
39,-144.45099452524306,-258.34756935098846,158,200,250
40,-83.96617168971108,-254.09436452998173,160,200,250
41,-302.3932647304616,-255.24433834427887,175,200,250
42,-329.9508097882544,-256.98169814530155,121,200,250
43,-473.98727365266535,-261.91364304319615,190,200,250
44,-79.5639457000351,-257.86142754668145,129,200,250
45,-138.0846846764019,-255.257585310371,119,200,250
46,-419.36056375466893,-258.7491380432284,175,200,250
47,-413.24482116682753,-261.96779810830344,146,200,250
48,-73.59839975328276,-258.12352467248667,129,200,250
49,-313.9026163389129,-259.23910650581524,133,200,250
50,-285.2100493919559,-259.7483406800533,95,200,250
51,-366.5388978168637,-261.8020052403765,164,200,250
52,-113.7583366593856,-259.0087284746975,244,200,250
53,-86.70291944944039,-255.81788015941493,106,200,250
54,-131.59148279463486,-253.5592183891462,126,200,250
55,-122.31921835828874,-251.21564696002375,84,200,250
56,-126.89961426180103,-249.03466393023035,306,200,250
57,-26.793318209951153,-245.20291659022556,122,200,250
58,-275.16791021801373,-245.71079783815415,202,200,250
59,-102.39009556273349,-243.32211946689716,139,200,250
60,-294.38087106048386,-244.15914818154613,234,200,250
61,-52.711664765183436,-241.07128554579836,254,200,250
62,-210.79668828664444,-240.59073638295462,122,200,250
63,-35.54592431616142,-237.38691119441097,162,200,250
64,-202.05552420333834,-236.84335139454834,263,200,250
