,Score,Average Score,Timestamp,Solved Requirement,Stretch Goal
0,-373.89871398250585,-373.89871398250585,83,200,250
1,-440.54099807067666,-407.2198560265913,84,200,250
2,-192.8892161394213,-335.7763093975346,78,200,250
3,-65.79898625637004,-268.28197861224345,74,200,250
4,-662.1597464790269,-347.0575321856001,93,200,250
5,-308.4541784504913,-340.62363989641534,73,200,250
6,-246.43114240626235,-327.1675688263935,86,200,250
7,-286.1464415668745,-322.03992791895365,109,200,250
8,-221.3976033193471,-310.85744740788624,173,200,250
9,-656.1762353136936,-345.389326198467,126,200,250
10,-214.02595368048043,-333.4472014241046,63,200,250
11,-238.71670913634395,-325.55299373345787,101,200,250
12,-227.24850998208382,-317.99111036796756,97,200,250
13,-315.1867594859051,-317.7907995906774,109,200,250
14,-299.9611752115836,-316.60215796540444,101,200,250
15,-439.2663876836459,-324.26867232279454,79,200,250
16,-192.09477908045304,-316.4937374261862,85,200,250
17,-156.97001479971078,-307.63130839138205,89,200,250
18,-355.3777435984588,-310.14427866543866,88,200,250
19,-234.3789255492478,-306.3560110096291,110,200,250
20,-479.0083964934538,-314.57755317552557,161,200,250
21,-368.8774573447587,-317.0457306377634,91,200,250
22,-168.30170596723733,-310.57859913034923,95,200,250
23,-192.98751894349118,-305.67897078923016,201,200,250
24,-186.94750234787966,-300.9297120515762,125,200,250
25,-210.32439893072268,-297.44489231615876,155,200,250
26,-491.0831114390325,-304.6166782095985,90,200,250
27,-126.5023982859255,-298.2554539266102,133,200,250
28,-344.69019796919383,-299.8566519970441,190,200,250
29,-522.7705537471162,-307.2871153887132,111,200,250
30,-281.20747208983,-306.4458365726202,185,200,250
31,-293.1877516611145,-306.03152141913563,216,200,250
32,-425.43679157337846,-309.6498629389612,103,200,250
33,-334.9623177584205,-310.39434690423934,122,200,250
34,-218.17702474502784,-307.759566271119,153,200,250
35,-243.8992532541022,-305.98566868731297,138,200,250
36,-305.4949955672147,-305.97240725163465,116,200,250
37,-358.8934885563037,-307.36506728596805,126,200,250
38,-90.13773209167258,-301.7951356143194,138,200,250
39,-383.98382682949614,-303.84985289469887,206,200,250
40,-435.910393878372,-307.0708416991787,81,200,250
41,-458.17247480543693,-310.66849963028005,147,200,250
42,-123.19390858652714,-306.30862541996026,157,200,250
43,-192.8987733122682,-303.73112878114904,200,200,250
44,-248.18244730519976,-302.4967136372391,114,200,250
45,-269.84330119819435,-301.78685684508594,124,200,250
46,-142.4934978210756,-298.39763644031973,310,200,250
47,-200.13289054722304,-296.3504542342136,112,200,250
48,-211.62366407217263,-294.6213360676413,122,200,250
49,-3.1580368701204122,-288.7920700836909,116,200,250
50,-221.54184676110378,-287.4734382538362,135,200,250
