,Score,Average Score,Timestamp,Solved Requirement,Stretch Goal
0,-327.8282539613899,-327.8282539613899,84,200,250
1,-324.4565205421755,-326.1423872517827,74,200,250
2,-339.7296712354745,-330.6714819130133,67,200,250
3,-253.19807731710526,-311.30313076403627,59,200,250
4,-556.1108279197174,-360.26467019517247,96,200,250
5,-225.55405473428186,-337.8129009516907,116,200,250
6,-257.62549743243846,-326.35755759179756,97,200,250
7,-250.6083546861113,-316.88890722858673,62,200,250
8,-72.29314783948365,-289.7116006297975,59,200,250
9,-346.4874038529224,-295.38918095211,72,200,250
10,-214.45668977242036,-288.0316817539564,77,200,250
11,-173.12829202566428,-278.4563992765987,80,200,250
12,-393.4395233322805,-287.3012549731896,93,200,250
13,-399.6357619361436,-295.3251483276863,110,200,250
14,-459.1484873976396,-306.2467042656832,109,200,250
15,-154.25139171004759,-296.746997230956,95,200,250
16,-264.5255699105295,-294.8516191532839,80,200,250
17,-138.37817815116833,-286.15865020872184,96,200,250
18,-125.93539480956083,-277.72584729297654,100,200,250
19,-58.41160669903796,-266.7601352632796,73,200,250
20,-85.6590900213864,-258.1362759660466,82,200,250
21,-15.308803822822838,-247.09866359590004,120,200,250
22,-368.92917114334597,-252.3956421849194,146,200,250
23,-229.81787119892596,-251.45490172716973,96,200,250
24,-23.904271966879975,-242.35287653675812,146,200,250
25,-358.60806666902755,-246.8242300033839,75,200,250
26,-393.38903197367387,-252.2525560022835,219,200,250
27,-148.07464575477508,-248.53191635058676,140,200,250
28,-134.70945437136442,-244.6070038685446,85,200,250
29,-112.63573184883103,-240.2079614678875,92,200,250
30,-207.18683934042167,-239.14276397990474,173,200,250
31,6.106083025099579,-231.47873751099837,422,200,250
32,-133.0704914961346,-228.4966694499419,93,200,250
33,-94.80653685427365,-224.5646067265399,140,200,250
34,-120.70029537829181,-221.5970549737328,228,200,250
35,-234.040109624876,-221.942695380709,105,200,250
36,-38.83968264949624,-216.99396530689245,137,200,250
37,-170.18173978560372,-215.7620646352796,167,200,250
38,-158.45967365379525,-214.29277255883127,90,200,250
39,-142.62903179036556,-212.50117903961964,110,200,250
40,-75.05783684055928,-209.14890240061814,99,200,250
41,-389.82912583439963,-213.45081248237486,109,200,250
42,-408.1229114223293,-217.97807059725753,107,200,250
43,-216.65457809800859,-217.9479912222746,139,200,250
44,-143.9828980579627,-216.30432248528987,128,200,250
45,-67.57817070923159,-213.07114527276687,74,200,250
46,-68.45943913518778,-209.99430046132903,81,200,250
47,-623.0983584173672,-218.6006350020798,85,200,250
48,-67.8433278221726,-215.52395526371436,197,200,250
49,-216.1782543850589,-215.53704124614123,118,200,250
50,-550.1458681138607,-222.09799863570436,92,200,250
51,-186.99987522576282,-221.42303472397472,159,200,250
52,-214.67242509133317,-221.29566473090603,298,200,250
53,-312.3382535637593,-222.9816385981811,205,200,250
54,-186.78441248570275,-222.32350721431786,127,200,250
55,-444.6819294904722,-226.29419332639205,159,200,250
56,3.793114383694615,-222.25757389288177,103,200,250
57,-492.4540765095125,-226.91613428282363,131,200,250
58,-11.372556511448238,-223.26285330364777,204,200,250
59,-137.3081103465222,-221.83027425436237,81,200,250
60,-185.00243099303754,-221.22653911893082,73,200,250
61,-621.413747058215,-227.6811715050483,241,200,250
62,-149.2521183230415,-226.43626589898471,109,200,250
63,-74.29567192009793,-224.0590691180646,163,200,250
64,-90.78866118585144,-222.00875514987672,170,200,250
65,-305.6911270425351,-223.27666987552305,184,200,250
66,-94.60415866621648,-221.3561846335931,126,200,250
67,-142.51426282081525,-220.1967446069346,148,200,250
68,-264.40190380620425,-220.83739908808343,223,200,250
69,-526.4279331565683,-225.20297814620466,149,200,250
70,-141.95505591653037,-224.03047219930784,164,200,250
71,-337.15843106251293,-225.60169385018565,86,200,250
