,Score,Average Score,Timestamp,Solved Requirement,Stretch Goal
0,-410.1015308473907,-410.1015308473907,81,200,250
1,-166.8269904315934,-288.46426063949207,90,200,250
2,-422.79997852009103,-333.2428332663584,141,200,250
3,-395.22198142048,-348.73762030488876,95,200,250
4,17.7798471375949,-275.434126816392,100,200,250
5,-75.8870668603656,-242.17628349038762,95,200,250
6,-279.73202469742114,-247.5413893771067,58,200,250
7,-579.894714702723,-289.0855550428087,105,200,250
8,-548.9897174152991,-317.9637953064187,202,200,250
9,-127.5425745305918,-298.9216732288361,98,200,250
10,-346.2312626567552,-303.22254499501054,109,200,250
11,-59.55678014446477,-282.91706459079836,122,200,250
12,-944.3357241104072,-333.7954230153837,210,200,250
13,-181.424786016778,-322.91180608691184,94,200,250
14,-489.0144918651966,-333.9853184721308,165,200,250
15,-237.63293543455507,-327.96329453228236,144,200,250
16,-104.04486405173412,-314.7916221510736,114,200,250
17,-212.54875912348976,-309.11146309398566,92,200,250
18,-202.81090015624534,-303.51669662357824,74,200,250
19,-14.92812639033734,-289.0872681119162,224,200,250
20,-441.7744203223013,-296.3580848838393,97,200,250
21,-309.15299932081507,-296.9396719037018,125,200,250
22,-557.8727646137564,-308.28458897805206,89,200,250
23,-217.13767822603631,-304.48680103005137,108,200,250
24,-314.77436096663786,-304.89830342751486,86,200,250
25,-408.37666083589625,-308.87824025091413,153,200,250
26,-214.61943498649813,-305.3871733892691,135,200,250
27,-454.1983040115731,-310.70185662577995,80,200,250
28,-249.61542383475054,-308.5954279088479,304,200,250
29,-299.7066299955432,-308.2991346450711,117,200,250
30,-203.58566362613522,-304.9212807412345,152,200,250
31,-199.469157197058,-301.6259018804789,89,200,250
32,-169.2148307730519,-297.61344518025385,188,200,250
33,-259.5176499945162,-296.49298061596744,148,200,250
34,-310.429888842276,-296.89117799386196,129,200,250
35,-220.18219074320822,-294.7603727924549,233,200,250
36,-146.7276859451787,-290.75948936415017,214,200,250
37,-104.75877462022545,-285.8647337129943,205,200,250
38,-339.9948311661392,-287.2526849297416,238,200,250
39,-200.34194348919948,-285.079916393728,116,200,250
40,-221.50927309587325,-283.5294128986584,92,200,250
41,-150.14415075259694,-280.3535733237522,136,200,250
42,-114.6039491445401,-276.4989309009798,174,200,250
43,-225.55481222875005,-275.34111002206555,189,200,250
44,-132.74608387419153,-272.17233166322393,143,200,250
45,-321.5516129509643,-273.24579429991394,206,200,250
46,4.6392025849258545,-267.33334755768334,123,200,250
47,-247.95855362093283,-266.92970601733424,173,200,250
48,-227.2808779483218,-266.1205462608238,260,200,250
49,-214.049229411267,-265.07911992383265,116,200,250
50,-258.78245094372755,-264.95565582618354,92,200,250
51,-177.4995120707158,-263.27380690780916,107,200,250
52,-118.09552435272028,-260.53459402941127,176,200,250
53,-296.43630371454174,-261.1994405050618,194,200,250
54,-199.27946352527337,-260.0736227417929,160,200,250
55,-196.46866488879022,-258.93781992298926,120,200,250
56,-168.96960767488088,-257.359430234426,189,200,250
57,-316.18392507166385,-258.3736456626542,155,200,250
58,-132.42064165329634,-256.2388489845295,129,200,250
59,-415.98607997515285,-258.9013028343732,263,200,250
60,-216.7130658316717,-258.20969239170597,262,200,250
61,-209.97329260609368,-257.4316859435509,259,200,250
62,-112.05833784800856,-255.12417248171693,95,200,250
63,-373.9271422822686,-256.9804688848506,106,200,250
64,-92.01694272084464,-254.44256848232746,130,200,250
65,-160.4286014313115,-253.01811443609995,136,200,250
66,-189.5279542090199,-252.0705001043525,137,200,250
67,-119.29073697987398,-250.11785652899252,84,200,250
68,-46.52882749310361,-247.16729089079124,211,200,250
69,-259.1690986695369,-247.33874528763045,276,200,250
70,-267.7296908336526,-247.62594170377162,146,200,250
71,-42.06502182350445,-244.77092892765677,408,200,250
72,5.432803301044004,-241.34348054096225,171,200,250
73,-236.55293129349963,-241.27874338896953,164,200,250
74,-83.47513316474726,-239.17469525264653,184,200,250
75,17.61929555982465,-235.79582695248246,161,200,250
76,30.97014759318651,-232.33133377656466,141,200,250
77,-219.01287669410897,-232.1605843267896,221,200,250
78,-145.4925461466039,-231.06352055235686,190,200,250
79,-149.19888618853577,-230.04021262280907,150,200,250
80,-279.7367698273865,-230.65375036607543,229,200,250
81,-123.23992289522974,-229.34382564082125,101,200,250
82,-188.3336261802409,-228.84972685213953,368,200,250
83,-274.04692512778115,-229.38778873637338,753,200,250
84,-105.17935776529643,-227.92651307789012,148,200,250
85,-205.30349561536977,-227.6634547353027,113,200,250
86,-209.0442192246063,-227.44944053403032,172,200,250
87,-212.44645033128728,-227.27895200899914,204,200,250
88,-42.18639604697675,-225.19926036897644,109,200,250
89,-9.762506061216385,-222.80551865444576,171,200,250
90,11.612928792855698,-220.22949175942048,118,200,250
91,-71.76221189034462,-218.61571697823487,126,200,250
92,-6.928924938110427,-216.3395149132873,102,200,250
93,-141.96948046042993,-215.5483443340016,116,200,250
94,-158.48412035938418,-214.94766829216348,284,200,250
95,-40.325355691708225,-213.1286858692421,123,200,250
96,-90.55896714179869,-211.8650805215365,195,200,250
97,-169.80458768781136,-211.43589181915155,134,200,250
98,-336.4359435035999,-212.69851860384293,245,200,250
99,-22.659070828213302,-210.79812412608663,290,200,250
100,-206.6687366344493,-208.76379618395717,290,200,250
101,-183.53141765917348,-208.93084045623303,138,200,250
102,-115.24549115373586,-205.85529558256945,294,200,250
103,-138.9157535224523,-203.2922333035892,110,200,250
104,-111.09068464296985,-204.58093862139486,82,200,250
105,-162.8468234261101,-205.45053618705228,111,200,250
106,-143.63262475824035,-204.08954218766047,399,200,250
107,-205.42435500483526,-200.34483859068158,460,200,250
108,-6.949318321062961,-194.9244345997392,98,200,250
109,-10.905732735958622,-193.75806618179286,219,200,250
110,-196.36304428310964,-192.2593839980564,328,200,250
111,-177.3698475708004,-193.43751467231976,146,200,250
112,-155.54605188847313,-185.54961795010044,468,200,250
113,-61.230592487319214,-184.34767601480584,167,200,250
114,-163.9423436332267,-181.09695453248614,222,200,250
115,-311.0201390016565,-181.83082656815714,640,200,250
116,65.81829856555908,-180.13219494198424,222,200,250
117,-285.1053808536261,-180.85776115928562,379,200,250
118,-5.310180498702579,-178.88275396271018,337,200,250
119,-96.70074772787945,-179.70048017608562,217,200,250
120,-152.8428438213536,-176.8111644110761,107,200,250
121,-102.53034191062791,-174.74493783697423,718,200,250
122,-59.92064447387292,-169.76541663557543,149,200,250
123,-8.784108129538211,-167.68188093461046,278,200,250
124,-252.2926318551344,-167.0570636434954,98,200,250
125,-200.66222440102246,-164.97991927914666,138,200,250
126,-34.69663929049783,-163.18069132218668,278,200,250
127,-74.34232371511618,-159.3821315192221,194,200,250
128,-219.5086032362433,-159.08106331323705,333,200,250
129,-155.15361574193528,-157.63553317070094,96,200,250
130,-40.935695255625184,-156.00903348699586,109,200,250
131,-224.48931089244513,-156.2592350239497,126,200,250
132,-113.31885653817685,-155.70027528160097,298,200,250
133,-15.489686922729078,-153.25999565088307,172,200,250
134,-136.079052713829,-151.51648728959862,153,200,250
135,-61.71556707481122,-149.93182105291464,302,200,250
136,-132.8234934441581,-149.79277912790445,211,200,250
137,-250.3918913549539,-151.2491102952517,218,200,250
138,-240.54308241369182,-150.25459280772725,348,200,250
139,-223.0231160269218,-150.48140453310447,112,200,250
140,-109.83753738868263,-149.36468717603256,262,200,250
141,-144.14423348682368,-149.30468800337485,154,200,250
142,-146.1903895586621,-149.62055240751607,191,200,250
143,-29.965871989983157,-147.6646630051284,337,200,250
144,-160.22438746504565,-147.93944604103694,431,200,250
145,-209.8592084703672,-146.82252199623096,213,200,250
146,-124.7339105090393,-148.1162531271706,277,200,250
147,-90.50661187048884,-146.54173370966618,218,200,250
148,-297.52570035573297,-147.24418193374026,512,200,250
149,-77.64628026014053,-145.88015244222902,220,200,250
150,-182.03935547290575,-145.1127214875208,304,200,250
